Anno,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Tasso mortalita' anagrafica,Tasso natalita' anagrafica,Tasso iscrizione anagrafica,Tasso cancellazione anagrafica
2015,16,BG,16242,VILLONGO,6.14112044115804,8.271713247274094,37.849354555708735,33.21218197769144
2015,14,SO,14038,LOVERO,19.622641509433962,7.547169811320755,28.679245283018868,21.132075471698113
2015,12,VA,12089,LONATE CEPPINO,6.868686868686869,9.898989898989899,33.131313131313131,32.525252525252525
2015,15,MI,15085,CORBETTA,7.459821183698097,9.818441116779113,35.818112007021008,32.252756294224124
2015,19,CR,19042,DRIZZONA,18.034265103697024,7.21370604147881,28.854824165915239,9.017132551848512
2015,17,BS,17141,PEZZAZE,11.920529801324503,6.622516556291391,16.556291390728477,24.503311258278146
2015,19,CR,19055,MADIGNANO,9.566108643662453,7.516228220020499,27.331738981892723,26.648445507345405
2016,18,PV,18157,TORRE D'ARESE,6.191950464396285,14.447884416924665,45.407636738906089,47.471620227038184
2015,19,CR,19079,RICENGO,5.644933672029354,8.46740050804403,38.385548969799605,34.998588766581993
2016,12,VA,12058,CUASSO AL MONTE,6.679654884497634,7.792930698580573,41.747843028110214,53.437239075981074
2015,13,CO,13028,BREGNANO,8.165780756490255,8.319852091518373,38.671905092057623,35.590478391495262
2016,16,BG,16207,STEZZANO,6.97718995591336,10.350776308223117,33.122484186313974,32.739122100824228
2015,97,LC,97059,OLGINATE,11.782241464972674,7.949464120945418,33.643267797572574,42.160550784299808
2015,12,VA,12046,CASTIGLIONE OLONA,8.383310762881279,7.093570645514929,29.27710066421616,28.116334558586445
2015,19,CR,19032,CORTE DE' CORTESI CON CIGNONE,10.237319683573755,5.583992554676594,51.186598417868776,28.850628199162401
2015,98,LO,98020,COMAZZO,5.794517494985514,10.697570759973256,49.476264764876309,53.933585914865166
2016,17,BS,17172,SAN GERVASIO BRESCIANO,4.712350284704496,12.173571568819949,45.94541527586884,41.233064991164343
2016,17,BS,17171,SAN FELICE DEL BENACO,12.051734273956496,6.466784244562022,48.79482657260435,36.743092298647854
2016,12,VA,12031,CARAVATE,8.996675141795423,8.996675141795423,39.898298454918834,44.983375708977117
2016,16,BG,16129,LURANO,6.062767475035663,10.342368045649073,38.516405135520685,34.236804564907275
2016,16,BG,16168,PONTE NOSSA,11.074197120708749,3.875968992248062,27.131782945736434,34.330011074197121
2015,17,BS,17037,CAPRIANO DEL COLLE,5.777254734139296,8.772868299989301,40.654755536535787,43.436396704825078
2015,17,BS,17195,VEROLANUOVA,9.58970623937849,6.069434328720563,24.156348628307842,23.549405195435785
2015,97,LC,97078,SUELLO,10.916403332375754,17.236426314277506,27.00373455903476,15.512783682849756
2016,20,MN,20017,CASTIGLIONE DELLE STIVIERE,7.486124854794992,10.024523512455363,43.884180183280988,43.755109065094867
2016,16,BG,16247,COSTA SERINA,9.724473257698541,11.885467314964884,18.368449486763911,36.736898973527823
2015,16,BG,16038,BREMBATE DI SOPRA,12.411347517730496,7.598784194528875,42.426545086119554,38.627152988855117
